"EnterpriseNumber","Status","JuridicalSituation","TypeOfEnterprise","JuridicalForm","JuridicalFormCAC","StartDate"
"0200.065.765","AC","000","2","416",,09-08-1960
"0200.068.636","AC","000","2","417",,16-02-1923
"0200.171.970","AC","000","2","116",,01-01-1968
"0200.245.711","AC","012","2","116",,01-01-1922
"0200.305.493","AC","000","2","416",,19-03-1962
"0200.362.210","AC","000","2","706",,26-02-1968
"0200.362.408","AC","000","2","706",,01-01-1968
"0200.420.410","AC","000","2","051",,01-01-1968
"0200.420.608","AC","000","2","124",,01-01-1968
"0200.448.421","AC","000","2","124",,02-08-1963
"0200.450.005","AC","000","2","124",,01-10-1865
"0200.762.878","AC","000","2","416",,01-07-1964
"0200.881.951","AC","000","2","416",,01-01-1968
"0200.882.050","AC","000","2","116",,08-01-1946
"0201.105.843","AC","000","2","706",,02-03-1956
"0201.107.526","AC","000","2","114",,07-01-1925
"0201.107.922","AC","000","2","706",,13-05-1955
"0201.183.146","AC","000","2","116",,01-01-1968
"0201.310.731","AC","000","2","416",,01-01-1968
"0201.310.929","AC","000","2","417",,06-05-1967
"0201.311.028","AC","012","2","416",,21-10-1964
"0201.311.226","AC","000","2","417",,01-01-1968
"0201.339.039","AC","012","2","116",,29-06-1953
"0201.400.011","AC","000","2","706",,11-10-1963
"0201.400.110","AC","000","2","706",,21-04-1949
"0201.400.209","AC","000","2","706",,19-11-1962
"0201.456.924","AC","000","2","116",,01-01-1929
"0201.543.234","AC","000","2","716",,26-10-1948
"0201.543.828","AC","012","2","116",,24-10-1968
"0201.552.538","AC","000","2","116",,24-10-1968
"0201.568.473","AC","000","2","116",,24-10-1968
"0201.645.281","AC","000","2","706",,01-01-1968
"0201.712.587","AC","000","2","706",,28-04-1925
"0201.717.438","AC","000","2","706",,08-06-1967
"0201.741.786","AC","000","2","706",,06-06-1946
"0201.760.592","AC","000","2","116",,01-01-1968
"0201.808.401","AC","000","2","706",,01-01-1968
"0201.978.150","AC","012","2","116",,24-10-1968
"0202.082.078","AC","000","2","417",,01-01-1968
"0202.239.951","AC","000","2","114",,19-07-1930
"0202.268.754","AC","000","2","706",,01-11-1968
"0202.320.224","AC","000","2","116",,01-11-1968
"0202.329.033","AC","000","2","116",,01-11-1968
"0202.395.052","AC","000","2","706",,27-12-1913
"0202.414.452","AC","000","2","124",,01-01-1968
"0202.470.177","AC","000","2","706",,21-12-1965
"0202.492.151","AC","012","2","116",,29-12-1955
"0202.500.267","AC","012","2","116",,01-01-1968
"0202.500.465","AC","000","2","116",,01-01-1968
"0202.508.878","AC","000","2","706",,25-07-1958
"0202.554.113","AC","000","2","706",,16-05-1963
"0202.554.608","AC","000","2","706",,01-01-1968
"0202.555.004","AC","000","2","414",,01-01-1968
"0202.718.122","AC","000","2","116",,01-01-1963
"0202.962.701","AC","000","2","706",,01-01-1968
"0203.071.973","AC","000","2","108",,01-01-1968
"0203.201.340","AC","000","2","014",,19-06-1959
